Mã Tàu,Ng??i ?ánh giá,C? s? v?t ch?t (sao),Ch?t l??ng d?ch v? (sao),T?ng ?i?m trung bình,?ánh giá b?ng l?i
SE1,ph**ng,5,5,5,"Mình không nói chuy?n v?i ai, nh?ng chuy?n ?i r?t bình an."
SE1,du*le,5,4,4.5,Toilet k sach lam cuoi chuyen nhung luc dau on.
SE1,nh**oa,4,5,4.5,"Khoang kín v?a ph?i, c?m giác an toàn và yên t?nh."
SE1,tu***nh,3,4,3.5,C?m nh?n chung là ? ?i?n không dùng ???c nên h?i b?t ti?n.
SE1,tu***nh,4,3,3.5,Leo t?ng cao h?i khó v?i ng??i l?n tu?i. Mong ???c h? tr? thêm.
SE1,ho*****en,5,5,5,G?p b?n cùng khoang d? th??ng nên chuy?n ?i vui h?n.
SE1,du*le,3,3,3,C?m nh?n chung là Mình thích khoang 4 gi??ng h?n vì t?ng 3 h?i bí. Mình v?n s? ?i l?i n?u c?n.
SE1,tr***do,4,3,3.5,"Mình ?i v?i v?, ???c nhân viên s?p x?p t?ng 1, ti?n di chuy?n."
SE1,ph**ng,5,5,5,Toilet h?i b?n vào cu?i hành trình. Nh?ng c?ng không ??n n?i t?.
SE1,ho*****en,4,4,4,C?m nh?n chung là Nhân viên h? tr? r?t nhanh khi có s? c?. Mình v?n s? ?i l?i n?u c?n.
SE2,ph**ng,3,3,3,Gh? m?m ?n nh?ng không ng? sâu ???c. Mình v?n s? ?i l?i n?u c?n.
SE2,vy**an,5,3,4,"Ch?n g?i s?ch, không có mùi hôi."
SE2,ki**hi,5,3,4,"Mình không nói chuy?n v?i ai, nh?ng chuy?n ?i r?t bình an."
SE2,nh**oa,3,5,4,Tàu SE8 l?n này ch?y r?t êm. Lúc ??n còn ti?c vì h?t s?m.
SE2,la***am,3,3,3,Không có ?èn riêng nên h?i khó ??c sách. Nh?ng c?ng không ??n n?i t?.
SE2,tu***nh,5,3,4,"Mình không nói chuy?n v?i ai, nh?ng chuy?n ?i r?t bình an."
SE2,ph**ng,5,3,4,"Khoang gi??ng thoáng, không b? bí. L?n t?i mình s? th? khoang khác."
SE2,ki**hi,3,3,3,"Mình thích có c?a s?, n?m t?ng 1 v?a ??c sách v?a ng?m c?nh."
SE2,ph**ng,3,4,3.5,"C?m nh?n chung là T?ng 3 th?p quá, leo lên khá khó. Mình v?n s? ?i l?i n?u c?n."
